ticket_id,type,comment,longitude,latitude,address,subdistrict,district,province,timestamp
2023-4MWB46,น้ำท่วม,น้ำท่วม ความสูงระดับข้อเท้า น้ำท่วมมาแล้วมากกว่า 1 สัปดาห์,100.46547,13.77833,170 ถ. บางขุนนนท์ แขวง บางขุนนนท์ เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,บางขุนนนท์,บางกอกน้อย,กรุงเทพมหานคร,10/31/2023 11:08
2023-K3CWVQ,"ถนน,น้ำท่วม",ตรงนี้คือตรงบริเวณแยกไฟแดงบ้านเนินหน้าร้านซ่อมมอเตอร์ไซค์เวลาฝนตกน้ำขังข้ามถนนลำบากปรกติก็ลำบากอยุแล้วรถขับมาน้ำกระเด็นใส่ ใกล้ทางรถไฟบางกอกน้อย(สุดทางถนนอิสรภาพ) ความสูงระดับสูงกว่าเอว น้ำท่วมมาแล้วมากกว่า 1 สัปดาห์,100.47786,13.75973,492/2 ถนน อิสรภาพ แขวงศิริราช เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,ศิริราช,บางกอกน้อย,กรุงเทพมหานคร,10/31/2023 11:01
2023-LZM6BF,"ต้นไม้,ผิดกฎจราจร",ถนนเป็นหลุมลึกน้ำขึ้นเยอะวิ่งไม่ได้น้ำท่วมรถเสีย มีคนแก่เด็กคนท้องอยู่ในซอยนี้ช่วยเข้ามาแก้ไขไห้หน่อยครับลำบากมากจริงๆ,100.44114,13.54789,57/3 เทียนทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10/31/2023 10:45
2023-KLHZUG,"น้ำท่วม,ความปลอดภัย",น้ำท่วมสูงระดับ50เซนติเมตรถึง60เซนติเมตรนักท่องเที่ยวต่างชาติไม่สามารถเดินออกจากท่าเรือท่องเที่ยวได้ ความสูงระดับหัวเข่า น้ำท่วมมาแล้วน้อยกว่า 1 สัปดาห์,100.4921,13.76152,19 ถนน พระอาทิตย์ แขวง ชนะสงคราม เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,ชนะสงคราม,พระนคร,กรุงเทพมหานคร,10/31/2023 10:00
D3TJ4Z,น้ำท่วม,"ปัญหา: พบมีน้ำท่วมขังถนน
ซอย:  31
ถนน: สุขาภิบาล 5
จุดสังเกต: ช่วงติดกับใต้ทางด่วน ฝั่งตรงข้ามกับโรงคัดแยกขยะเขตดังกล่าว
เขต: สายไหม
#1555",100.66465,13.90105,42 ถนน กม. 11 แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,ออเงิน,สายไหม,จังหวัดกรุงเทพมหานคร,10/31/2023 9:44
2023-4PKTQX,"ประปา,อื่นๆ",น้ำท่วมขังเพราะมีท่อประปาขวางอยู่,100.46081,13.78059,244/6 ถนน ชักพระ แขวงคลองชักพระ เขตตลิ่งชัน กรุงเทพมหานคร 10170 ประเทศไทย,คลองชักพระ,ตลิ่งชัน,กรุงเทพมหานคร,10/31/2023 9:20
2023-K8B6DR,"น้ำท่วม,ความปลอดภัย",น้ำท่วม ความสูงระดับหัวเข่า น้ำท่วมมาแล้วน้อยกว่า 1 ชั่วโมง,100.52328,13.68434,896/16 S.V. 1 10th Floor Rama 3 Road Bang Phong Phang Khet Yan Nawa Bangkok 10120 แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย,บางโพงพาง,ยานนาวา,กรุงเทพมหานคร,10/31/2023 9:12
2023-ERRWD9,"น้ำท่วม,ความปลอดภัย",ไม่แสดงรายละเอียด,100.49188,13.76122,19 ซอย ชนะสงคราม แขวงชนะสงคราม เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,ชนะสงคราม,พระนคร,กรุงเทพมหานคร,10/31/2023 9:08
2023-HAPT9X,"ถนน,ประปา,ความปลอดภัย",บริเวณหลังตึกแถวข้างโรงสีเจียเม้งมีการขุดดินวางท่อประปา แต่ไม่มีการบดอัดดิน ทำให้ถนนเป็นหลุม เป็นบ่อ มีน้ำท่วมขังตลอดเวลา ประชาชนและมอเตอร์ไซค์ใช้เส้นทางผ่านเข้าออกลำบาก อยากให้เจ้าหน้าที่ที่เกี่ยวข้องช่วยตรวจสอบ และนำหินคลุกมาเทปรับสภาพให้เหมือนเดิมโดยด่วน,100.5422,13.81414,102/57 ซอย เลียบทางรถไฟ แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,10/31/2023 8:46
2023-6YE69W,น้ำท่วม,เวลาฝนตกน้ำท่วมมากถึงเข่า และทำท่อน้ำทิ้งใหม่แล้วแต่ก็ยังท่วมเหมือนเดิมไม่รู้ทำแต่ฝาท่อหรือไม่ รบกวนทำท่อน้ำทิ้งขนาดใหญ่ด้วยครับ ปัจจุบันฝาท่อที่ทำใหม่ตามภาพ ไม่ใช่ภาพที่แจ้งดำเนินการเสร็จแล้วเลยคิดว่าไปดำเนอนการผิดจุดครับ ฝนตกทุกครั้งท่วมทุกครั้ง ลำบากมากครับ ความสูงระดับหัวเข่า น้ำท่วมมาแล้วน้อยกว่า 1 วัน,100.6046,13.78106,189 ซ.ลาดพร้าว 80 แขวง วังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310 ประเทศไทย,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,10/31/2023 8:44
